Date,Time,User,Partner,Status,Transaction ($),Category,Sequence Time (min:sec)
8/30/2015,7:22 PM,192749,RTAEBO,ACCEPTED,11.3,E,0:14
8/30/2015,7:47 PM,697640,G43YQ1,REJECTED,8.6,C,10:18
8/30/2015,7:13 PM,192749,5I5LAT,REJECTED,4.19,E,0:36
8/30/2015,7:11 PM,192749,5I5LAT,REJECTED,4.19,E,0:23
8/30/2015,7:16 PM,192749,5I5LAT,REJECTED,4.19,E,0:17
8/30/2015,7:17 PM,192749,5I5LAT,REJECTED,4.19,E,0:09
8/31/2015,4:25 PM,519668,JPUU3X,ACCEPTED,79.1,C,1:26
8/31/2015,12:29 PM,437528,F6MZKP,ACCEPTED,57.62,E,1:03
8/31/2015,10:55 AM,344016,0EC498,ACCEPTED,54.01,C,1:26
8/31/2015,10:30 AM,373790,JPUU3X,ACCEPTED,49.72,C,0:22
8/31/2015,11:17 AM,786711,UK1GEQ,ACCEPTED,45.73,C,0:39
8/31/2015,11:52 AM,569359,FNG052,ACCEPTED,44.56,D,0:39
8/31/2015,11:57 AM,779025,LOI03P,ACCEPTED,44.07,C,1:17
8/31/2015,11:46 AM,181964,8HSSRR,ACCEPTED,41.08,C,0:58
8/31/2015,12:04 PM,566328,JPUU3X,ACCEPTED,40.28,C,1:13
8/31/2015,11:25 AM,665233,LOI03P,ACCEPTED,35.03,C,1:30
8/31/2015,12:14 PM,978944,JPUU3X,ACCEPTED,35,C,0:57
8/31/2015,12:48 PM,985966,UK1GEQ,ACCEPTED,32.46,C,3:52
8/31/2015,11:22 AM,685791,FNG052,ACCEPTED,29.27,D,0:34
8/31/2015,4:02 PM,566027,XQQM2P,ACCEPTED,29.19,C,0:57
8/31/2015,12:40 PM,708228,LPPJSM,ACCEPTED,28.82,C,0:08
8/31/2015,11:07 AM,423388,LOI03P,ACCEPTED,28.25,C,1:05
8/31/2015,11:03 AM,656070,UEZQP6,ACCEPTED,27.34,D,1:41
8/31/2015,10:42 AM,732034,7OG3CG,ACCEPTED,27.29,C,0:33
8/31/2015,4:56 PM,665590,JPUU3X,ACCEPTED,27.12,C,1:39
8/31/2015,7:30 PM,463646,A4O2XC,ACCEPTED,27.12,C,1:05
8/31/2015,1:50 PM,610054,SOHDMM,ACCEPTED,27.01,C,1:46
8/31/2015,10:37 AM,989626,0EC498,ACCEPTED,27.01,C,0:50
8/31/2015,11:07 AM,862008,JPUU3X,ACCEPTED,26.48,C,0:41
8/31/2015,7:25 PM,327901,A4O2XC,ACCEPTED,26.1,C,1:24
8/31/2015,10:56 AM,966107,EX6L2Q,ACCEPTED,26.07,C,0:10
8/31/2015,4:21 PM,551804,A4O2XC,ACCEPTED,25.99,C,0:34
8/31/2015,1:00 PM,178930,AGWNCX,ACCEPTED,25.98,C,0:39
8/31/2015,12:52 PM,533439,0EC498,ACCEPTED,24.75,C,1:36
8/31/2015,11:16 AM,229678,VJCNQC,ACCEPTED,23.41,C,0:33
8/31/2015,11:34 AM,634461,NAU0XL,ACCEPTED,22.94,D,0:48
8/31/2015,3:00 PM,462360,JPUU3X,ACCEPTED,22.6,C,1:38
8/31/2015,5:51 PM,846869,JPUU3X,ACCEPTED,22.6,C,1:29
8/31/2015,6:08 PM,232287,TENC59,ACCEPTED,22.6,C,0:07
8/31/2015,11:01 AM,668598,4E0GZ9,ACCEPTED,22.49,C,0:51
8/31/2015,7:36 PM,543052,G43YQ1,ACCEPTED,22.33,C,6:09
8/31/2015,7:09 PM,798530,A4O2XC,ACCEPTED,21.76,C,0:40
8/31/2015,11:34 AM,974978,TENC59,ACCEPTED,21.47,C,0:46
8/31/2015,1:19 PM,566328,JPUU3X,ACCEPTED,20.79,C,0:12
8/31/2015,11:47 AM,318712,J8FKZR,ACCEPTED,20.68,E,1:04
8/31/2015,10:38 AM,350165,JPUU3X,ACCEPTED,20.34,C,0:17
8/31/2015,3:48 PM,332396,J8FKZR,ACCEPTED,19.66,E,1:29
8/31/2015,5:16 PM,351946,0ST0DT,ACCEPTED,19.48,C,1:56
8/31/2015,11:15 AM,332601,W00BXM,ACCEPTED,19.39,A,0:08
8/31/2015,1:34 PM,457868,0EC498,REJECTED,19.1,C,3:05
8/31/2015,10:33 AM,124534,LOI03P,ACCEPTED,18.65,C,0:46
8/31/2015,10:20 AM,520806,ZZNA1K,ACCEPTED,18.63,C,0:10
8/31/2015,9:54 AM,386961,UK1GEQ,ACCEPTED,18.62,C,0:32
8/31/2015,4:52 PM,400333,JPUU3X,ACCEPTED,18.45,C,0:31
8/31/2015,8:14 AM,159240,1HFZX3,ACCEPTED,18.37,C,0:11
8/31/2015,12:06 PM,115932,KIAD9J,ACCEPTED,18.36,C,0:15
8/31/2015,10:58 AM,653799,ZZNA1K,ACCEPTED,18.34,C,0:05
8/31/2015,11:51 AM,538851,EX6L2Q,ACCEPTED,18.16,C,0:08
8/31/2015,12:28 PM,415188,JPUU3X,ACCEPTED,18.08,C,1:43
8/31/2015,11:41 AM,806495,ZFX6KJ,ACCEPTED,18.08,C,0:12
8/31/2015,11:11 AM,926094,ZFX6KJ,ACCEPTED,18.08,C,0:09
8/31/2015,10:51 AM,688310,WSK7KE,ACCEPTED,18.03,C,0:57
8/31/2015,2:06 PM,508548,8HSSRR,ACCEPTED,18.02,C,0:37
8/31/2015,11:06 AM,726368,GY5MTI,ACCEPTED,17.97,C,0:13
8/31/2015,1:11 PM,862876,C4UDYF,ACCEPTED,17.74,C,2:23
8/31/2015,11:00 AM,414426,NAU0XL,ACCEPTED,17.63,D,0:18
8/31/2015,1:11 PM,897384,NAU0XL,ACCEPTED,17.63,D,0:12
8/31/2015,1:10 PM,870512,NAU0XL,ACCEPTED,17.63,D,0:08
8/31/2015,12:19 PM,462360,C4UDYF,ACCEPTED,17.59,C,1:54
8/31/2015,11:11 AM,701815,A4O2XC,ACCEPTED,17.52,C,2:24
8/31/2015,12:23 PM,822658,LOI03P,ACCEPTED,17.52,C,1:54
8/31/2015,10:31 AM,761730,LOI03P,ACCEPTED,17.52,C,0:13
8/31/2015,11:09 AM,848975,KOZM4L,ACCEPTED,17.46,D,1:32
8/31/2015,11:28 AM,656070,C4UDYF,ACCEPTED,17.4,C,1:14
8/31/2015,12:43 PM,278133,ZZNA1K,ACCEPTED,17.38,C,0:08
8/31/2015,12:04 PM,593991,A4O2XC,ACCEPTED,17.23,C,2:29
8/31/2015,11:45 AM,115932,KIAD9J,ACCEPTED,17.22,C,0:05
8/31/2015,11:08 AM,576386,A4O2XC,ACCEPTED,16.95,C,1:20
8/31/2015,8:59 AM,586406,NCZ7KY,ACCEPTED,16.95,E,1:12
8/31/2015,4:34 PM,998562,UK1GEQ,ACCEPTED,16.94,C,1:18
8/31/2015,10:06 AM,399849,W00BXM,ACCEPTED,16.89,E,0:29
8/31/2015,12:24 PM,520738,FNG052,ACCEPTED,16.89,D,0:23
8/31/2015,6:47 PM,142037,WHJPMC,ACCEPTED,16.89,C,0:19
8/31/2015,10:43 AM,202271,8HSSRR,ACCEPTED,16.89,C,0:12
8/31/2015,10:43 AM,588640,9CUHY3,ACCEPTED,16.84,C,1:17
8/31/2015,4:57 PM,746149,8HSSRR,ACCEPTED,16.84,C,0:48
8/31/2015,11:50 AM,438371,C4UDYF,ACCEPTED,16.84,C,0:43
8/31/2015,10:24 AM,295154,AGWNCX,ACCEPTED,16.84,C,0:20
8/31/2015,10:01 AM,767227,C4UDYF,ACCEPTED,16.82,C,1:47
8/31/2015,5:23 PM,631533,EX6L2Q,ACCEPTED,16.48,C,0:54
8/31/2015,4:34 PM,128947,TENC59,ACCEPTED,16.39,C,0:17
8/31/2015,10:33 AM,995037,0EC498,ACCEPTED,16.09,C,1:27
8/31/2015,12:18 PM,857452,A4O2XC,ACCEPTED,15.82,C,3:55
8/31/2015,11:07 AM,955745,A4O2XC,ACCEPTED,15.82,C,1:22
8/31/2015,11:06 AM,612080,WSK7KE,ACCEPTED,15.82,C,1:05
8/31/2015,4:42 PM,284277,9T0TP1,ACCEPTED,15.82,C,0:48
8/31/2015,11:51 AM,342203,A4O2XC,ACCEPTED,15.82,C,0:36
8/31/2015,10:45 AM,384295,YX262L,ACCEPTED,15.82,E,0:32
8/31/2015,10:32 AM,487152,A4O2XC,ACCEPTED,15.82,C,0:28
8/31/2015,11:00 AM,873449,JPUU3X,ACCEPTED,15.82,C,0:27
8/31/2015,11:04 AM,740849,JPUU3X,ACCEPTED,15.82,C,0:22
8/31/2015,11:06 AM,731510,BA53P2,ACCEPTED,15.82,E,0:18
8/31/2015,11:12 AM,216654,JPUU3X,ACCEPTED,15.82,C,0:14
8/31/2015,11:34 AM,444717,JPUU3X,ACCEPTED,15.82,C,0:10
8/31/2015,11:53 AM,106559,8HSSRR,ACCEPTED,15.76,C,0:26
8/31/2015,6:04 PM,710253,8HSSRR,ACCEPTED,15.71,C,0:35
8/31/2015,12:25 PM,470451,LOI03P,ACCEPTED,15.59,C,1:43
8/31/2015,11:15 AM,466218,TENC59,ACCEPTED,15.53,C,3:09
8/31/2015,11:17 AM,506178,AGWNCX,ACCEPTED,15.53,C,0:07
8/31/2015,10:51 AM,726703,AGWNCX,REJECTED,15.37,C,0:17
8/31/2015,10:58 AM,888064,3L4ZGE,ACCEPTED,15.27,C,1:10
8/31/2015,11:04 AM,217778,IW1XF2,ACCEPTED,15.27,E,0:12
8/31/2015,11:03 AM,984839,A4O2XC,ACCEPTED,15.26,C,1:08
8/31/2015,1:04 PM,454472,UK1GEQ,ACCEPTED,15.24,C,1:34
8/31/2015,11:29 AM,446305,UK1GEQ,ACCEPTED,15.24,C,0:41
8/31/2015,11:38 AM,852434,66CCIF,ACCEPTED,15.23,C,0:44
8/31/2015,11:59 AM,445248,ZZNA1K,ACCEPTED,15.23,C,0:06
8/31/2015,11:17 AM,955590,U6FD6Y,ACCEPTED,15.21,C,0:54
8/31/2015,11:24 AM,420173,0ST0DT,ACCEPTED,15.19,C,1:03
8/31/2015,12:30 PM,249086,A4O2XC,ACCEPTED,14.97,C,2:36
8/31/2015,10:51 AM,284380,A4O2XC,ACCEPTED,14.97,C,0:38
8/31/2015,10:34 AM,929137,LOI03P,ACCEPTED,14.92,C,1:08
8/31/2015,12:39 PM,124257,LOI03P,ACCEPTED,14.92,C,0:47
8/31/2015,10:37 AM,718095,LOI03P,ACCEPTED,14.92,C,0:41
8/31/2015,1:38 PM,988846,WSK7KE,REJECTED,14.92,C,0:11
8/31/2015,7:12 PM,965714,JPUU3X,ACCEPTED,14.91,C,1:33
8/31/2015,11:34 AM,166109,XQQM2P,ACCEPTED,14.91,C,0:45
8/31/2015,12:24 PM,584151,ZZNA1K,ACCEPTED,14.91,C,0:09
8/31/2015,12:08 PM,669288,WHJPMC,ACCEPTED,14.69,C,2:12
8/31/2015,11:48 AM,868650,LOI03P,ACCEPTED,14.69,C,1:20
8/31/2015,10:40 AM,429031,LOI03P,ACCEPTED,14.69,C,0:39
8/31/2015,12:27 PM,330400,WHJPMC,ACCEPTED,14.69,C,0:24
8/31/2015,4:47 PM,626253,9T0TP1,ACCEPTED,14.69,C,0:14
8/31/2015,11:18 AM,208932,UEZQP6,ACCEPTED,14.69,D,0:13
8/31/2015,12:20 PM,102264,JPUU3X,ACCEPTED,14.69,C,0:09
8/31/2015,12:50 PM,491371,UK1GEQ,ACCEPTED,14.68,C,2:39
8/31/2015,11:30 AM,326158,JPUU3X,ACCEPTED,14.68,C,2:06
8/31/2015,11:25 AM,528987,JPUU3X,ACCEPTED,14.68,C,1:06
8/31/2015,11:29 AM,660854,66CCIF,ACCEPTED,14.67,C,0:27
8/31/2015,4:27 PM,370504,8HSSRR,ACCEPTED,14.63,C,6:21
8/31/2015,10:54 AM,447369,8HSSRR,ACCEPTED,14.63,C,1:42
8/31/2015,1:18 PM,365789,9CUHY3,ACCEPTED,14.63,C,1:04
8/31/2015,1:38 PM,457868,0EC498,ACCEPTED,14.63,C,1:03
8/31/2015,10:58 AM,660933,8HSSRR,ACCEPTED,14.63,C,1:00
8/31/2015,11:59 AM,126788,9CUHY3,ACCEPTED,14.63,C,0:51
8/31/2015,6:02 PM,178679,8HSSRR,ACCEPTED,14.63,C,0:50
8/31/2015,12:50 PM,659234,C4UDYF,ACCEPTED,14.63,C,0:44
8/31/2015,12:10 PM,376603,9CUHY3,ACCEPTED,14.63,C,0:35
8/31/2015,12:28 PM,830045,F6MZKP,ACCEPTED,14.63,E,0:35
8/31/2015,4:19 PM,687876,9CUHY3,ACCEPTED,14.63,C,0:28
8/31/2015,11:01 AM,771981,AGWNCX,ACCEPTED,14.63,C,0:12
8/31/2015,10:52 AM,478117,AGWNCX,ACCEPTED,14.63,C,0:10
8/31/2015,10:56 AM,176428,NCZ7KY,ACCEPTED,14.41,E,0:11
8/31/2015,11:06 AM,705613,NCZ7KY,ACCEPTED,14.41,E,0:09
8/31/2015,12:10 PM,682780,IBEHMI,ACCEPTED,14.3,C,0:49
8/31/2015,12:23 PM,844407,JPUU3X,ACCEPTED,14.29,C,1:32
8/31/2015,10:15 AM,501061,5SKOEW,ACCEPTED,14.13,C,1:51
8/31/2015,11:22 AM,703638,WSK7KE,ACCEPTED,14.13,C,1:40
8/31/2015,4:44 PM,369207,TENC59,ACCEPTED,14.13,C,0:49
8/31/2015,11:00 AM,960857,UK1GEQ,ACCEPTED,14.11,C,1:44
8/31/2015,2:55 PM,894205,UK1GEQ,ACCEPTED,14.11,C,1:43
8/31/2015,11:06 AM,119278,TENC59,ACCEPTED,14.11,C,0:09
8/31/2015,11:10 AM,463117,SOHDMM,ACCEPTED,14.07,C,1:10
8/31/2015,10:46 AM,536609,KIAD9J,ACCEPTED,14.06,C,0:18
8/31/2015,1:13 PM,125710,NAU0XL,ACCEPTED,13.96,D,0:08
8/31/2015,11:15 AM,409652,TENC59,ACCEPTED,13.94,C,1:19
8/31/2015,11:43 AM,366943,EX6L2Q,ACCEPTED,13.88,C,0:13
8/31/2015,11:13 AM,117077,KIAD9J,ACCEPTED,13.77,C,0:15
8/31/2015,11:00 AM,485051,EX6L2Q,ACCEPTED,13.72,C,0:07
8/31/2015,12:14 PM,151736,KIAD9J,ACCEPTED,13.7,C,0:08
8/31/2015,11:29 AM,710059,EX6L2Q,ACCEPTED,13.65,C,0:09
8/31/2015,10:53 AM,161579,A4O2XC,ACCEPTED,13.56,C,4:51
8/31/2015,10:33 AM,348115,LOI03P,ACCEPTED,13.56,C,1:26
8/31/2015,9:54 AM,678590,NCZ7KY,ACCEPTED,13.56,E,1:19
8/31/2015,11:13 AM,842809,LOI03P,ACCEPTED,13.56,C,1:09
8/31/2015,11:32 AM,654808,LOI03P,ACCEPTED,13.56,C,0:56
8/31/2015,11:33 AM,784197,LOI03P,ACCEPTED,13.56,C,0:49
8/31/2015,10:38 AM,580898,A4O2XC,ACCEPTED,13.56,C,0:42
8/31/2015,7:10 PM,199676,A4O2XC,ACCEPTED,13.56,C,0:42
8/31/2015,1:18 PM,723172,LOI03P,ACCEPTED,13.56,C,0:33
8/31/2015,11:06 AM,454729,LOI03P,ACCEPTED,13.56,C,0:32
8/31/2015,11:35 AM,576386,4E0GZ9,ACCEPTED,13.56,C,0:32
8/31/2015,12:47 PM,174976,JPUU3X,ACCEPTED,13.56,C,0:24
8/31/2015,11:06 AM,658240,QKUR3J,ACCEPTED,13.56,E,0:21
8/31/2015,12:05 PM,830370,TENC59,ACCEPTED,13.56,C,0:18
8/31/2015,11:09 AM,367148,WSK7KE,ACCEPTED,13.56,C,0:14
