Date,Partner,Score,UX,Transaction Experience,Process Quality
11/20/2015,UJZDE8,5,Good,Good,Good
11/20/2015,UJZDE8,5,Good,Good,Good
11/20/2015,UJZDE8,5,Good,Good,Good
11/20/2015,UJZDE8,3,Improving,Good,Good
11/29/2015,GXD6NC,5,Good,Good,Good
12/3/2015,GXD6NC,2,Good,Improving,Improving
12/3/2015,GXD6NC,5,Good,Good,Good
12/4/2015,GXD6NC,5,Good,Good,Good
12/4/2015,GXD6NC,5,Good,Good,Good
12/4/2015,GXD6NC,5,Good,Good,Good
11/20/2015,F10EPF,3,Good,Improving,Good
11/12/2015,91DHOD,5,Good,Good,Good
11/12/2015,91DHOD,5,Good,Good,Good
11/12/2015,91DHOD,1,Good,Good,Good
11/13/2015,91DHOD,5,Good,Good,Good
11/13/2015,91DHOD,5,Good,Good,Good
11/13/2015,91DHOD,5,Good,Good,Good
11/13/2015,91DHOD,5,Good,Good,Good
11/13/2015,91DHOD,5,Good,Good,Good
11/13/2015,91DHOD,5,Good,Good,Good
11/13/2015,91DHOD,5,Good,Good,Good
11/13/2015,91DHOD,5,Good,Good,Good
11/13/2015,91DHOD,4,Good,Good,Good
11/13/2015,91DHOD,2,Good,Improving,Good
11/16/2015,91DHOD,5,Good,Good,Good
11/16/2015,91DHOD,5,Good,Good,Good
12/3/2015,ZDOC9I,5,Improving,Good,Good
12/1/2015,S0J8HT,5,Improving,Good,Good
11/16/2015,9LGMXG,5,Good,Good,Good
11/23/2015,9LGMXG,4,Good,Good,Good
12/2/2015,9LGMXG,5,Good,Good,Good
12/2/2015,9LGMXG,5,Good,Good,Good
11/20/2015,9EDN58,5,Good,Good,Good
11/21/2015,9EDN58,5,Good,Good,Good
11/23/2015,9EDN58,5,Good,Good,Good
11/23/2015,9EDN58,5,Good,Good,Good
11/23/2015,9EDN58,5,Good,Good,Good
11/23/2015,9EDN58,5,Good,Good,Good
11/24/2015,9EDN58,5,Good,Good,Good
11/24/2015,9EDN58,5,Good,Good,Good
11/24/2015,9EDN58,5,Good,Good,Good
11/24/2015,9EDN58,4,Good,Good,Good
11/24/2015,9EDN58,5,Good,Good,Good
11/24/2015,9EDN58,5,Good,Good,Good
11/25/2015,9EDN58,4,Good,Good,Good
11/25/2015,9EDN58,5,Good,Good,Good
11/25/2015,9EDN58,5,Good,Good,Good
11/25/2015,9EDN58,5,Good,Good,Good
11/26/2015,9EDN58,5,Good,Good,Good
11/27/2015,9EDN58,5,Good,Good,Good
12/1/2015,9EDN58,5,Good,Good,Good
12/1/2015,9EDN58,5,Good,Good,Good
12/2/2015,9EDN58,5,Good,Good,Good
11/12/2015,1U33XT,5,Good,Good,Good
11/12/2015,1U33XT,5,Good,Good,Good
11/13/2015,1U33XT,3,Good,Improving,Good
11/23/2015,PLPFT7,4,Improving,Good,Good
11/19/2015,5V2SEH,5,Good,Good,Good
11/19/2015,5V2SEH,1,Good,Improving,Improving
11/20/2015,5V2SEH,5,Good,Good,Good
11/23/2015,5V2SEH,5,Good,Good,Good
11/13/2015,60KVJ5,1,Improving,Improving,Good
11/13/2015,60KVJ5,4,Good,Good,Good
11/16/2015,60KVJ5,5,Good,Good,Good
11/17/2015,60KVJ5,5,Good,Good,Good
11/20/2015,60KVJ5,5,Good,Improving,Good
11/20/2015,0CE9UV,3,Good,Improving,Good
11/13/2015,W53EFR,5,Good,Good,Good
11/18/2015,W53EFR,5,Good,Good,Good
12/4/2015,W53EFR,3,Good,Good,Good
11/18/2015,4EDT2S,5,Good,Good,Good
11/20/2015,4EDT2S,5,Improving,Good,Good
11/23/2015,4EDT2S,5,Good,Good,Good
11/23/2015,4EDT2S,5,Good,Good,Good
11/26/2015,4EDT2S,5,Good,Good,Good
11/27/2015,4EDT2S,5,Good,Good,Good
12/1/2015,4EDT2S,5,Good,Good,Good
11/12/2015,YWB3WK,4,Good,Improving,Good
11/12/2015,YWB3WK,5,Good,Good,Good
11/13/2015,YWB3WK,5,Good,Good,Good
11/13/2015,YWB3WK,5,Good,Good,Good
11/13/2015,YWB3WK,4,Good,Improving,Improving
11/20/2015,H5DNSI,5,Good,Good,Good
11/20/2015,H5DNSI,5,Good,Good,Good
12/1/2015,H5DNSI,5,Good,Good,Good
12/1/2015,H5DNSI,4,Good,Good,Good
12/2/2015,H5DNSI,4,Improving,Improving,Good
11/21/2015,PZZ5FK,2,Good,Improving,Good
11/30/2015,2Z9RI1,5,Good,Good,Good
12/4/2015,2Z9RI1,5,Good,Good,Good
12/8/2015,2Z9RI1,5,Good,Good,Good
12/2/2015,9R0WYO,5,Good,Good,Good
12/2/2015,9R0WYO,5,Good,Improving,Good
11/18/2015,JFLJOO,2,Improving,Good,Good
11/20/2015,JFLJOO,4,Good,Good,Improving
11/20/2015,JFLJOO,5,Good,Good,Good
11/20/2015,JFLJOO,4,Good,Good,Good
11/21/2015,JFLJOO,5,Good,Good,Good
11/25/2015,JFLJOO,5,Good,Good,Good
12/1/2015,JFLJOO,3,Good,Good,Good
12/3/2015,JFLJOO,5,Good,Good,Good
11/20/2015,A5LQSA,5,Good,Good,Good
11/20/2015,A5LQSA,4,Good,Good,Good
11/20/2015,A5LQSA,5,Good,Good,Good
11/25/2015,A5LQSA,3,Good,Improving,Improving
11/25/2015,A5LQSA,2,Improving,Improving,Improving
11/18/2015,J08XUI,4,Good,Good,Good
11/19/2015,J08XUI,5,Good,Good,Good
11/20/2015,J08XUI,5,Good,Good,Good
11/25/2015,J08XUI,5,Good,Good,Good
11/25/2015,J08XUI,5,Good,Good,Good
11/26/2015,J08XUI,5,Good,Good,Good
11/27/2015,J08XUI,5,Good,Good,Good
11/27/2015,J08XUI,5,Good,Good,Good
11/27/2015,J08XUI,5,Good,Good,Good
11/30/2015,J08XUI,5,Good,Good,Good
11/30/2015,J08XUI,5,Good,Good,Good
11/30/2015,J08XUI,5,Good,Good,Good
11/18/2015,6D39ZZ,5,Good,Good,Good
11/12/2015,ZZG4ZD,5,Improving,Good,Good
11/12/2015,ZZG4ZD,5,Good,Good,Good
11/12/2015,ZZG4ZD,5,Good,Good,Good
11/13/2015,ZZG4ZD,5,Good,Good,Good
11/13/2015,ZZG4ZD,5,Good,Good,Good
11/13/2015,ZZG4ZD,5,Good,Good,Good
11/13/2015,ZZG4ZD,5,Improving,Good,Good
11/13/2015,ZZG4ZD,4,Good,Good,Good
11/13/2015,ZZG4ZD,4,Good,Improving,Improving
